,source ID,source name,source type,mapping type,target ID,target name,target type,mapping description
14501,S0369,CoinTicker,software,uses,T1543.001,Launch Agent,technique,CoinTicker creates user launch agents named .espl.plist and com.apple.[random string].plist to establish persistence.	
5646,S0369,CoinTicker,software,uses,T1027,Obfuscated Files or Information,technique,CoinTicker initially downloads a hidden encoded file.
5657,S0369,CoinTicker,software,uses,T1059.006,Python,technique,CoinTicker executes a Python script to download its second stage.
9813,S0369,CoinTicker,software,uses,T1059.004,Unix Shell,technique,CoinTicker executes a bash script to establish a reverse shell.
7027,S0369,CoinTicker,software,uses,T1059.003,Windows Command Shell,technique,CoinTicker executes a bash script to establish a reverse shell.
8019,S0126,ComRAT,software,uses,T1573.002,Asymmetric Cryptography,technique,ComRAT can use SSL/TLS encryption for its HTTP-based C2 channel. ComRAT has used public key cryptography with RSA and AES encrypted email attachments for its Gmail C2 channel. 
11357,S0126,ComRAT,software,uses,T1102.002,Bidirectional Communication,technique,ComRAT has the ability to use the Gmail web UI to receive commands and exfiltrate information.
8293,S0126,ComRAT,software,uses,T1027.010,Command Obfuscation,technique,ComRAT has used encryption and base64 to obfuscate its orchestrator code in the Registry. ComRAT has also used encoded PowerShell scripts. 
2495,S0126,ComRAT,software,uses,T1546.015,Component Object Model Hijacking,technique,ComRAT samples have been seen which hijack COM objects for persistence by replacing the path to shell32.dll in registry location  HKCU\Software\Classes\CLSID\{42aedc87-2188-41fd-b9a3-0c966feabec1}\InprocServer32 .
8366,S0126,ComRAT,software,uses,T1140,Deobfuscate/Decode Files or Information,technique,ComRAT has used unique per machine passwords to decrypt the orchestrator payload and a hardcoded XOR key to decrypt its communications module. ComRAT has also used a unique password to decrypt the file used for its hidden file system.
11407,S0126,ComRAT,software,uses,T1055.001,Dynamic-link Library Injection,technique,ComRAT has injected its orchestrator DLL into explorer.exe. ComRAT has also injected its communications module into the victim's default browser to make C2 connections appear less suspicious as all network connections will be initiated by the browser process.
945,S0126,ComRAT,software,uses,T1027.009,Embedded Payloads,technique,ComRAT has embedded a XOR encrypted communications module inside the orchestrator module. 
5564,S0126,ComRAT,software,uses,T1027.011,Fileless Storage,technique,ComRAT has stored encrypted orchestrator code and payloads in the Registry. 
2570,S0126,ComRAT,software,uses,T1564.005,Hidden File System,technique,ComRAT has used a portable FAT16 partition image placed in %TEMP% as a hidden file system.
11214,S0126,ComRAT,software,uses,T1071.003,Mail Protocols,technique,ComRAT can use email attachments for command and control.
10892,S0126,ComRAT,software,uses,T1036.004,Masquerade Task or Service,technique,ComRAT has used a task name associated with Windows SQM Consolidator.
859,S0126,ComRAT,software,uses,T1112,Modify Registry,technique,ComRAT has modified Registry values to store encrypted orchestrator code and payloads. 
947,S0126,ComRAT,software,uses,T1106,Native API,technique,ComRAT can load a PE file from memory or the file system and execute it with  CreateProcessW .
14826,S0126,ComRAT,software,uses,T1027,Obfuscated Files or Information,technique,ComRAT has encrypted its virtual file system using AES-256 in XTS mode. 
11435,S0126,ComRAT,software,uses,T1059.001,PowerShell,technique,ComRAT has used PowerShell to load itself every time a user logs in to the system. ComRAT can execute PowerShell scripts loaded into memory or from the file system.
12288,S0126,ComRAT,software,uses,T1012,Query Registry,technique,ComRAT can check the default browser by querying  HKCR\http\shell\open\command .
3145,S0126,ComRAT,software,uses,T1053.005,Scheduled Task,technique,ComRAT has used a scheduled task to launch its PowerShell loader.
794,S0126,ComRAT,software,uses,T1029,Scheduled Transfer,technique,"ComRAT has been programmed to sleep outside local business hours (9 to 5, Monday to Friday)."
10670,S0126,ComRAT,software,uses,T1518,Software Discovery,technique,ComRAT can check the victim's default browser to determine which process to inject its communications module into.
3397,S0126,ComRAT,software,uses,T1124,System Time Discovery,technique,"ComRAT has checked the victim system's date and time to perform tasks during business hours (9 to 5, Monday to Friday). "
5065,S0126,ComRAT,software,uses,T1071.001,Web Protocols,technique,ComRAT has used HTTP requests for command and control.
12464,S0126,ComRAT,software,uses,T1059.003,Windows Command Shell,technique,ComRAT has used  cmd.exe to execute commands.
6540,S0244,Comnie,software,uses,T1119,Automated Collection,technique,Comnie executes a batch script to store discovery information in %TEMP%\info.dat and then uploads the temporarily file to the remote C2 server.
5992,S0244,Comnie,software,uses,T1102.002,Bidirectional Communication,technique,"Comnie uses blogs and third-party sites (GitHub, tumbler, and BlogSpot) to avoid DNS-based blocking of their communication to the command and control server."
4876,S0244,Comnie,software,uses,T1027.001,Binary Padding,technique,Comnie appends a total of 64MB of garbage data to a file to deter any security products in place that may be scanning files on disk.
11917,S0244,Comnie,software,uses,T1087.001,Local Account,technique,Comnie uses the  net user command.
12589,S0244,Comnie,software,uses,T1027,Obfuscated Files or Information,technique,Comnie uses RC4 and Base64 to obfuscate strings.
4939,S0244,Comnie,software,uses,T1057,Process Discovery,technique,Comnie uses the  tasklist to view running processes on the victim’s machine.
867,S0244,Comnie,software,uses,T1547.001,Registry Run Keys / Startup Folder,technique,Comnie achieves persistence by adding a shortcut of itself to the startup path in the Registry.
4326,S0244,Comnie,software,uses,T1018,Remote System Discovery,technique,Comnie runs the  net view command
5302,S0244,Comnie,software,uses,T1218.011,Rundll32,technique,Comnie uses Rundll32 to load a malicious DLL.
8565,S0244,Comnie,software,uses,T1518.001,Security Software Discovery,technique,Comnie attempts to detect several anti-virus products.
8665,S0244,Comnie,software,uses,T1547.009,Shortcut Modification,technique,Comnie establishes persistence via a .lnk file in the victim’s startup path.
5538,S0244,Comnie,software,uses,T1573.001,Symmetric Cryptography,technique,Comnie encrypts command and control communications with RC4.
15167,S0244,Comnie,software,uses,T1082,System Information Discovery,technique,Comnie collects the hostname of the victim machine.
3201,S0244,Comnie,software,uses,T1016,System Network Configuration Discovery,technique,Comnie uses  ipconfig /all and  route PRINT to identify network adapter and interface information.
5973,S0244,Comnie,software,uses,T1049,System Network Connections Discovery,technique,Comnie executes the  netstat -ano command.
13054,S0244,Comnie,software,uses,T1007,System Service Discovery,technique,Comnie runs the command:  net start >> %TEMP%\info.dat on a victim.
6199,S0244,Comnie,software,uses,T1059.005,Visual Basic,technique,Comnie executes VBS scripts.
10168,S0244,Comnie,software,uses,T1071.001,Web Protocols,technique,Comnie uses HTTP for C2 communication.
1942,S0244,Comnie,software,uses,T1059.003,Windows Command Shell,technique,Comnie executes BAT scripts.
7458,S0608,Conficker,software,uses,T1562.001,Disable or Modify Tools,technique,Conficker terminates various services related to system security and Windows.
11333,S0608,Conficker,software,uses,T1568.002,Domain Generation Algorithms,technique,Conficker has used a DGA that seeds with the current UTC victim system date to generate domains.
6148,S0608,Conficker,software,uses,T1210,Exploitation of Remote Services,technique,Conficker exploited the MS08-067 Windows vulnerability for remote code execution through a crafted RPC request.
11892,S0608,Conficker,software,uses,T1105,Ingress Tool Transfer,technique,Conficker downloads an HTTP server to the infected machine.
6306,S0608,Conficker,software,uses,T1490,Inhibit System Recovery,technique,Conficker resets system restore points and deletes backup files.
3988,S0608,Conficker,software,uses,T1112,Modify Registry,technique,Conficker adds keys to the Registry at  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services and various other Registry locations.
15413,S0608,Conficker,software,uses,T1046,Network Service Discovery,technique,Conficker scans for other machines to infect.
13005,S0608,Conficker,software,uses,T1027,Obfuscated Files or Information,technique,Conficker has obfuscated its code to prevent its removal from host machines.
7496,S0608,Conficker,software,uses,T1547.001,Registry Run Keys / Startup Folder,technique,Conficker adds Registry Run keys to establish persistence.
4538,S0608,Conficker,software,uses,T1091,Replication Through Removable Media,technique,Conficker variants used the Windows AUTORUN feature to spread through USB propagation.
8547,S0608,Conficker,software,uses,T1021.002,SMB/Windows Admin Shares,technique,Conficker variants spread through NetBIOS share propagation.
3932,S0608,Conficker,software,uses,T1124,System Time Discovery,technique,Conficker uses the current UTC victim system date for domain generation and connects to time servers to determine the current date.
10951,S0608,Conficker,software,uses,T1543.003,Windows Service,technique,Conficker copies itself into the  %systemroot%\system32 directory and registers as a service.
7043,S0591,ConnectWise,software,uses,T1059.001,PowerShell,technique,ConnectWise can be used to execute PowerShell commands on target machines.
5893,S0591,ConnectWise,software,uses,T1113,Screen Capture,technique,ConnectWise can take screenshots on remote hosts.
4771,S0591,ConnectWise,software,uses,T1125,Video Capture,technique,ConnectWise can record video on remote hosts.
13017,S0575,Conti,software,uses,T1486,Data Encrypted for Impact,technique,"Conti can use  CreateIoCompletionPort() ,  PostQueuedCompletionStatus() , and  GetQueuedCompletionPort() to rapidly encrypt files, excluding those with the extensions of .exe, .dll, and .lnk. It has used a different AES-256 encryption key per file with a bundled RAS-4096 public encryption key that is unique for each victim. Conti can use “Windows Restart Manager” to ensure files are unlocked and open for encryption."
15458,S0575,Conti,software,uses,T1140,Deobfuscate/Decode Files or Information,technique,Conti has decrypted its payload using a hardcoded AES-256 key.
5917,S0575,Conti,software,uses,T1055.001,Dynamic-link Library Injection,technique,Conti has loaded an encrypted DLL into memory and then executes it.
7933,S0575,Conti,software,uses,T1083,File and Directory Discovery,technique,Conti can discover files on a local system.
3477,S0575,Conti,software,uses,T1490,Inhibit System Recovery,technique,Conti can delete Windows Volume Shadow Copies using  vssadmin .
9496,S0575,Conti,software,uses,T1106,Native API,technique,Conti has used API calls during execution. 
3499,S0575,Conti,software,uses,T1135,Network Share Discovery,technique,Conti can enumerate remote open SMB network shares using  NetShareEnum() .
3253,S0575,Conti,software,uses,T1027,Obfuscated Files or Information,technique,"Conti can use compiler-based obfuscation for its code, encrypt DLLs, and hide Windows API calls."
13,S0575,Conti,software,uses,T1057,Process Discovery,technique,Conti can enumerate through all open processes to search for any that have the string “sql” in their process name.
2098,S0575,Conti,software,uses,T1018,Remote System Discovery,technique,Conti has the ability to discover hosts on a target network.
3953,S0575,Conti,software,uses,T1021.002,SMB/Windows Admin Shares,technique,"Conti can spread via SMB and encrypts files on different hosts, potentially compromising an entire network."
14336,S0575,Conti,software,uses,T1489,Service Stop,technique,"Conti can stop up to 146 Windows services related to security, backup, database, and email solutions through the use of  net stop ."
11629,S0575,Conti,software,uses,T1016,System Network Configuration Discovery,technique,"Conti can retrieve the ARP cache from the local system by using the  GetIpNetTable() API call and check to ensure IP addresses it connects to are for local, non-Internet, systems. "
12731,S0575,Conti,software,uses,T1049,System Network Connections Discovery,technique,Conti can enumerate routine network connections from a compromised host.
12857,S0575,Conti,software,uses,T1080,Taint Shared Content,technique,Conti can spread itself by infecting other remote machines via network shared drives. 
3616,S0575,Conti,software,uses,T1059.003,Windows Command Shell,technique,Conti can utilize command line options to allow an attacker control over how it scans and encrypts files.
10521,S0492,CookieMiner,software,uses,T1027.010,Command Obfuscation,technique,CookieMiner has used base64 encoding to obfuscate scripts on the system. 
1540,S0492,CookieMiner,software,uses,T1555.003,Credentials from Web Browsers,technique,CookieMiner can steal saved usernames and passwords in Chrome as well as credit card credentials.
10934,S0492,CookieMiner,software,uses,T1005,Data from Local System,technique,CookieMiner has retrieved iPhone text messages from iTunes phone backup files.
12177,S0492,CookieMiner,software,uses,T1140,Deobfuscate/Decode Files or Information,technique,CookieMiner has used Google Chrome's decryption and extraction operations.
10609,S0492,CookieMiner,software,uses,T1562.004,Disable or Modify System Firewall,technique,"CookieMiner has checked for the presence of ""Little Snitch"", macOS network monitoring and application firewall software, stopping and exiting if it is found."
12416,S0492,CookieMiner,software,uses,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,technique,CookieMiner has used the  curl --upload-file command to exfiltrate data over HTTP.
8608,S0492,CookieMiner,software,uses,T1083,File and Directory Discovery,technique,"CookieMiner has looked for files in the user's home directory with ""wallet"" in their name using  find ."
8215,S0492,CookieMiner,software,uses,T1105,Ingress Tool Transfer,technique,CookieMiner can download additional scripts from a web server.
11548,S0492,CookieMiner,software,uses,T1543.001,Launch Agent,technique,CookieMiner has installed multiple new Launch Agents in order to maintain persistence for cryptocurrency mining software.
7712,S0492,CookieMiner,software,uses,T1059.006,Python,technique,"CookieMiner has used python scripts on the user’s system, as well as the Python variant of the Empire agent, EmPyre."
11291,S0492,CookieMiner,software,uses,T1496,Resource Hijacking,technique,CookieMiner has loaded coinmining software onto systems to mine for Koto cryptocurrency. 
5469,S0492,CookieMiner,software,uses,T1518.001,Security Software Discovery,technique,"CookieMiner has checked for the presence of ""Little Snitch"", macOS network monitoring and application firewall software, stopping and exiting if it is found."
11966,S0492,CookieMiner,software,uses,T1539,Steal Web Session Cookie,technique,CookieMiner can steal Google Chrome and Apple Safari browser cookies from the victim’s machine. 
3315,S0492,CookieMiner,software,uses,T1059.004,Unix Shell,technique,CookieMiner has used a Unix shell script to run a series of commands targeting macOS.
1171,S0050,CosmicDuke,software,uses,T1020,Automated Exfiltration,technique,CosmicDuke exfiltrates collected files automatically over FTP to remote servers.
14916,S0050,CosmicDuke,software,uses,T1115,Clipboard Data,technique,CosmicDuke copies and exfiltrates the clipboard contents every 30 seconds.
13115,S0050,CosmicDuke,software,uses,T1555,Credentials from Password Stores,technique,"CosmicDuke collects user credentials, including passwords, for various programs including popular instant messaging applications and email clients as well as WLAN keys."
8279,S0050,CosmicDuke,software,uses,T1555.003,Credentials from Web Browsers,technique,"CosmicDuke collects user credentials, including passwords, for various programs including Web browsers."
5323,S0050,CosmicDuke,software,uses,T1005,Data from Local System,technique,CosmicDuke steals user files from local hard drives with file extensions that match a predefined list.
380,S0050,CosmicDuke,software,uses,T1039,Data from Network Shared Drive,technique,CosmicDuke steals user files from network shared drives with file extensions and keywords that match a predefined list.
6849,S0050,CosmicDuke,software,uses,T1025,Data from Removable Media,technique,CosmicDuke steals user files from removable media with file extensions and keywords that match a predefined list.
5958,S0050,CosmicDuke,software,uses,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,technique,CosmicDuke exfiltrates collected files over FTP or WebDAV. Exfiltration servers can be separately configured from C2 servers.
1393,S0050,CosmicDuke,software,uses,T1068,Exploitation for Privilege Escalation,technique,CosmicDuke attempts to exploit privilege escalation vulnerabilities CVE-2010-0232 or CVE-2010-4398.
5428,S0050,CosmicDuke,software,uses,T1083,File and Directory Discovery,technique,CosmicDuke searches attached and mounted drives for file extensions and keywords that match a predefined list.
4191,S0050,CosmicDuke,software,uses,T1056.001,Keylogging,technique,CosmicDuke uses a keylogger.
12924,S0050,CosmicDuke,software,uses,T1003.004,LSA Secrets,technique,CosmicDuke collects LSA secrets.
1683,S0050,CosmicDuke,software,uses,T1114.001,Local Email Collection,technique,CosmicDuke searches for Microsoft Outlook data files with extensions .pst and .ost for collection and exfiltration.
13742,S0050,CosmicDuke,software,uses,T1053.005,Scheduled Task,technique,"CosmicDuke uses scheduled tasks typically named ""Watchmon Service"" for persistence."
3322,S0050,CosmicDuke,software,uses,T1113,Screen Capture,technique,CosmicDuke takes periodic screenshots and exfiltrates them.
8635,S0050,CosmicDuke,software,uses,T1003.002,Security Account Manager,technique,CosmicDuke collects Windows account hashes.
9967,S0050,CosmicDuke,software,uses,T1573.001,Symmetric Cryptography,technique,CosmicDuke contains a custom version of the RC4 algorithm that includes a programming error.
5812,S0050,CosmicDuke,software,uses,T1071.001,Web Protocols,technique,CosmicDuke can use HTTP or HTTPS for command and control to hard-coded C2 servers.
420,S0050,CosmicDuke,software,uses,T1543.003,Windows Service,technique,"CosmicDuke uses Windows services typically named ""javamtsup"" for persistence."
9796,S0614,CostaBricks,software,uses,T1027.001,Binary Padding,technique,CostaBricks has added the entire unobfuscated code of the legitimate open source application Blink to its code.
6429,S0614,CostaBricks,software,uses,T1140,Deobfuscate/Decode Files or Information,technique,CostaBricks has the ability to use bytecode to decrypt embedded payloads.
14229,S0614,CostaBricks,software,uses,T1105,Ingress Tool Transfer,technique,CostaBricks has been used to load SombRAT onto a compromised host.
13683,S0614,CostaBricks,software,uses,T1106,Native API,technique,"CostaBricks has used a number of API calls, including `VirtualAlloc`, `VirtualFree`, `LoadLibraryA`, `GetProcAddress`, and `ExitProcess`. "
2153,S0614,CostaBricks,software,uses,T1055,Process Injection,technique,CostaBricks can inject a payload into the memory of a compromised host.
14921,S0614,CostaBricks,software,uses,T1027.002,Software Packing,technique,CostaBricks can implement a custom-built virtual machine mechanism to obfuscate its code.
14377,S0046,CozyCar,software,uses,T1102.002,Bidirectional Communication,technique,CozyCar uses Twitter as a backup C2 channel to Twitter accounts specified in its configuration file.
4875,S0046,CozyCar,software,uses,T1003.001,LSASS Memory,technique,CozyCar has executed Mimikatz to harvest stored credentials from the victim and further victim penetration.
3939,S0046,CozyCar,software,uses,T1027,Obfuscated Files or Information,technique,The payload of CozyCar is encrypted with simple XOR with a rotating key. The CozyCar configuration file has been encrypted with RC4 keys.
7839,S0046,CozyCar,software,uses,T1547.001,Registry Run Keys / Startup Folder,technique,One persistence mechanism used by CozyCar is to set itself to be executed at system startup by adding a Registry value under one of the following Registry keys: <br> HKLM\Software\Microsoft\Windows\CurrentVersion\Run\ <br> HKCU\Software\Microsoft\Windows\CurrentVersion\Run\ <br> HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run <br> HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run 
832,S0046,CozyCar,software,uses,T1036.003,Rename System Utilities,technique,The CozyCar dropper has masqueraded a copy of the infected system's rundll32.exe executable that was moved to the malware's install directory and renamed according to a predefined configuration file.
6454,S0046,CozyCar,software,uses,T1218.011,Rundll32,technique,"The CozyCar dropper copies the system file rundll32.exe to the install location for the malware, then uses the copy of rundll32.exe to load and execute the main CozyCar component."
8722,S0046,CozyCar,software,uses,T1053.005,Scheduled Task,technique,One persistence mechanism used by CozyCar is to register itself as a scheduled task.
15875,S0046,CozyCar,software,uses,T1003.002,Security Account Manager,technique,"Password stealer and NTLM stealer modules in CozyCar harvest stored credentials from the victim, including credentials used as part of Windows NTLM user authentication."
2036,S0046,CozyCar,software,uses,T1518.001,Security Software Discovery,technique,"The main CozyCar dropper checks whether the victim has an anti-virus product installed. If the installed product is on a predetermined list, the dropper will exit."
7722,S0046,CozyCar,software,uses,T1082,System Information Discovery,technique,A system info module in CozyCar gathers information on the victim host’s configuration.
12122,S0046,CozyCar,software,uses,T1497,Virtualization/Sandbox Evasion,technique,"Some versions of CozyCar will check to ensure it is not being executed inside a virtual machine or a known malware analysis sandbox environment. If it detects that it is, it will exit."
13924,S0046,CozyCar,software,uses,T1071.001,Web Protocols,technique,CozyCar's main method of communicating with its C2 servers is using HTTP or HTTPS.
12920,S0046,CozyCar,software,uses,T1059.003,Windows Command Shell,technique,A module in CozyCar allows arbitrary commands to be executed by invoking  C:\Windows\System32\cmd.exe .
13283,S0046,CozyCar,software,uses,T1543.003,Windows Service,technique,One persistence mechanism used by CozyCar is to register itself as a Windows service.
3978,S0488,CrackMapExec,software,uses,T1053.002,At,technique,CrackMapExec can set a scheduled task on the target system to execute commands remotely using at.
1147,S0488,CrackMapExec,software,uses,T1110,Brute Force,technique,CrackMapExec can brute force supplied user credentials across a network range.
7580,S0488,CrackMapExec,software,uses,T1087.002,Domain Account,technique,CrackMapExec can enumerate the domain user accounts on a targeted system.
4140,S0488,CrackMapExec,software,uses,T1069.002,Domain Groups,technique,CrackMapExec can gather the user accounts within domain groups.
14142,S0488,CrackMapExec,software,uses,T1083,File and Directory Discovery,technique,CrackMapExec can discover specified filetypes and log files on a targeted system.
6403,S0488,CrackMapExec,software,uses,T1003.004,LSA Secrets,technique,CrackMapExec can dump hashed passwords from LSA secrets for the targeted system.
13788,S0488,CrackMapExec,software,uses,T1112,Modify Registry,technique,CrackMapExec can create a registry key using wdigest.
9227,S0488,CrackMapExec,software,uses,T1003.003,NTDS,technique,"CrackMapExec can dump hashed passwords associated with Active Directory using Windows' Directory Replication Services API (DRSUAPI), or Volume Shadow Copy."
6545,S0488,CrackMapExec,software,uses,T1135,Network Share Discovery,technique,CrackMapExec can enumerate the shared folders and associated permissions for a targeted network.
12091,S0488,CrackMapExec,software,uses,T1550.002,Pass the Hash,technique,CrackMapExec can pass the hash to authenticate via SMB.
3907,S0488,CrackMapExec,software,uses,T1110.001,Password Guessing,technique,CrackMapExec can brute force passwords for a specified user on a single target system or across an entire network.
8425,S0488,CrackMapExec,software,uses,T1201,Password Policy Discovery,technique,CrackMapExec can discover the password policies applied to the target system.
9976,S0488,CrackMapExec,software,uses,T1110.003,Password Spraying,technique,CrackMapExec can brute force credential authentication by using a supplied list of usernames and a single password.
9862,S0488,CrackMapExec,software,uses,T1059.001,PowerShell,technique,CrackMapExec can execute PowerShell commands via WMI.
2529,S0488,CrackMapExec,software,uses,T1018,Remote System Discovery,technique,"CrackMapExec can discover active IP addresses, along with the machine name, within a targeted network."
15777,S0488,CrackMapExec,software,uses,T1003.002,Security Account Manager,technique,CrackMapExec can dump usernames and hashed passwords from the SAM.
2226,S0488,CrackMapExec,software,uses,T1082,System Information Discovery,technique,CrackMapExec can enumerate the system drives and associated system name.
7726,S0488,CrackMapExec,software,uses,T1016,System Network Configuration Discovery,technique,CrackMapExec can collect DNS information from the targeted system.
6399,S0488,CrackMapExec,software,uses,T1049,System Network Connections Discovery,technique,CrackMapExec can discover active sessions for a targeted system.
5243,S0488,CrackMapExec,software,uses,T1047,Windows Management Instrumentation,technique,CrackMapExec can execute remote commands using Windows Management Instrumentation.	
13854,S1023,CreepyDrive,software,uses,T1550.001,Application Access Token,technique,CreepyDrive can use legitimate OAuth refresh tokens to authenticate with OneDrive.
13545,S1023,CreepyDrive,software,uses,T1102.002,Bidirectional Communication,technique,CreepyDrive can use OneDrive for C2.
6869,S1023,CreepyDrive,software,uses,T1005,Data from Local System,technique,CreepyDrive can upload files to C2 from victim machines.
1651,S1023,CreepyDrive,software,uses,T1567.002,Exfiltration to Cloud Storage,technique,CreepyDrive can use cloud services including OneDrive for data exfiltration.
15670,S1023,CreepyDrive,software,uses,T1083,File and Directory Discovery,technique,CreepyDrive can specify the local file path to upload files from.
11718,S1023,CreepyDrive,software,uses,T1105,Ingress Tool Transfer,technique,CreepyDrive can download files to the compromised host.
7487,S1023,CreepyDrive,software,uses,T1059.001,PowerShell,technique,"CreepyDrive can use Powershell for execution, including the cmdlets `Invoke-WebRequest` and `Invoke-Expression`."
4583,S1023,CreepyDrive,software,uses,T1071.001,Web Protocols,technique,CreepyDrive can use HTTPS for C2 using the Microsoft Graph API.
15821,S1024,CreepySnail,software,uses,T1078.002,Domain Accounts,technique,CreepySnail can use stolen credentials to authenticate on target networks.
1065,S1024,CreepySnail,software,uses,T1041,Exfiltration Over C2 Channel,technique,CreepySnail can connect to C2 for data exfiltration.
2729,S1024,CreepySnail,software,uses,T1059.001,PowerShell,technique,"CreepySnail can use PowerShell for execution, including the cmdlets `Invoke-WebRequst` and `Invoke-Expression`."
12850,S1024,CreepySnail,software,uses,T1132.001,Standard Encoding,technique,CreepySnail can use Base64 to encode its C2 traffic.
11050,S1024,CreepySnail,software,uses,T1016,System Network Configuration Discovery,technique,CreepySnail can use `getmac` and `Get-NetIPAddress` to enumerate network settings.
13643,S1024,CreepySnail,software,uses,T1033,System Owner/User Discovery,technique,CreepySnail can execute `getUsername` on compromised systems.
3530,S1024,CreepySnail,software,uses,T1071.001,Web Protocols,technique,CreepySnail can use HTTP for C2.
10065,S0115,Crimson,software,uses,T1123,Audio Capture,technique,Crimson can perform audio surveillance using microphones.
2813,S0115,Crimson,software,uses,T1555.003,Credentials from Web Browsers,technique,Crimson contains a module to steal credentials from Web browsers on the victim machine.
783,S0115,Crimson,software,uses,T1005,Data from Local System,technique,Crimson can collect information from a compromised host.
11420,S0115,Crimson,software,uses,T1025,Data from Removable Media,technique,Crimson contains a module to collect data from removable drives.
9995,S0115,Crimson,software,uses,T1140,Deobfuscate/Decode Files or Information,technique,Crimson can decode its encoded PE file prior to execution.
42,S0115,Crimson,software,uses,T1041,Exfiltration Over C2 Channel,technique,Crimson can exfiltrate stolen information over its C2.
4041,S0115,Crimson,software,uses,T1070.004,File Deletion,technique,Crimson has the ability to delete files from a compromised host.	 
14181,S0115,Crimson,software,uses,T1083,File and Directory Discovery,technique,"Crimson contains commands to list files and directories, as well as search for files matching certain extensions from a defined list."
8334,S0115,Crimson,software,uses,T1105,Ingress Tool Transfer,technique,Crimson contains a command to retrieve files from its C2 server.
6227,S0115,Crimson,software,uses,T1056.001,Keylogging,technique,Crimson can use a module to perform keylogging on compromised hosts.
8188,S0115,Crimson,software,uses,T1114.001,Local Email Collection,technique,Crimson contains a command to collect and exfiltrate emails from Outlook.
14174,S0115,Crimson,software,uses,T1112,Modify Registry,technique,Crimson can set a Registry key to determine how long it has been installed and possibly to indicate the version number.
4058,S0115,Crimson,software,uses,T1095,Non-Application Layer Protocol,technique,Crimson uses a custom TCP protocol for C2.	 
6087,S0115,Crimson,software,uses,T1120,Peripheral Device Discovery,technique,Crimson has the ability to discover pluggable/removable drives to extract files from.
11283,S0115,Crimson,software,uses,T1057,Process Discovery,technique,Crimson contains a command to list processes.	 
10618,S0115,Crimson,software,uses,T1012,Query Registry,technique,Crimson can check the Registry for the presence of  HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\last_edate to determine how long it has been installed on a host.
13564,S0115,Crimson,software,uses,T1547.001,Registry Run Keys / Startup Folder,technique,Crimson can add Registry run keys for persistence.
13457,S0115,Crimson,software,uses,T1091,Replication Through Removable Media,technique,Crimson can spread across systems by infecting removable media.
14069,S0115,Crimson,software,uses,T1113,Screen Capture,technique,Crimson contains a command to perform screen captures.
3478,S0115,Crimson,software,uses,T1518.001,Security Software Discovery,technique,Crimson contains a command to collect information about anti-virus software on the victim.
4783,S0115,Crimson,software,uses,T1082,System Information Discovery,technique,"Crimson contains a command to collect the victim PC name, disk drive information, and operating system."
12386,S0115,Crimson,software,uses,T1614,System Location Discovery,technique,Crimson can identify the geographical location of a victim host.	 
7779,S0115,Crimson,software,uses,T1016,System Network Configuration Discovery,technique,Crimson contains a command to collect the victim MAC address and LAN IP.
12786,S0115,Crimson,software,uses,T1033,System Owner/User Discovery,technique,Crimson can identify the user on a targeted system.
30,S0115,Crimson,software,uses,T1124,System Time Discovery,technique,Crimson has the ability to determine the date and time on a compromised host.
10491,S0115,Crimson,software,uses,T1497.003,Time Based Evasion,technique,Crimson can determine when it has been installed on a host for at least 15 days before downloading the final payload.
15961,S0115,Crimson,software,uses,T1125,Video Capture,technique,Crimson can capture webcam video on targeted systems.
12734,S0115,Crimson,software,uses,T1071.001,Web Protocols,technique,Crimson can use a HTTP GET request to download its final payload.
1529,S0115,Crimson,software,uses,T1059.003,Windows Command Shell,technique,Crimson has the ability to execute commands with the COMSPEC environment variable.
7335,S0235,CrossRAT,software,uses,T1083,File and Directory Discovery,technique,CrossRAT can list all files on a system.
15115,S0235,CrossRAT,software,uses,T1543.001,Launch Agent,technique,CrossRAT creates a Launch Agent on macOS.
15683,S0235,CrossRAT,software,uses,T1547.001,Registry Run Keys / Startup Folder,technique,CrossRAT uses run keys for persistence on Windows
3646,S0235,CrossRAT,software,uses,T1113,Screen Capture,technique,CrossRAT is capable of taking screen captures.
6375,S0538,Crutch,software,uses,T1560.001,Archive via Utility,technique,Crutch has used the WinRAR utility to compress and encrypt stolen files.
4923,S0538,Crutch,software,uses,T1119,Automated Collection,technique,Crutch can automatically monitor removable drives in a loop and copy interesting files.
9490,S0538,Crutch,software,uses,T1020,Automated Exfiltration,technique,Crutch has automatically exfiltrated stolen files to Dropbox.
14788,S0538,Crutch,software,uses,T1102.002,Bidirectional Communication,technique,Crutch can use Dropbox to receive commands and upload stolen data.
10262,S0538,Crutch,software,uses,T1574.001,DLL Search Order Hijacking,technique,"Crutch can persist via DLL search order hijacking on Google Chrome, Mozilla Firefox, or Microsoft OneDrive."
15426,S0538,Crutch,software,uses,T1005,Data from Local System,technique,Crutch can exfiltrate files from compromised systems.
